"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Café racine","3.7","15","","","","","https://www.google.com/maps/place/Caf%C3%A9+racine/data=!4m7!3m6!1s0xdafefc7d930f87b:0x476378910b3f2662!8m2!3d31.6317527!4d-8.0038856!16s%2Fg%2F11h44nyn_x!19sChIJe_gw2cfvrw0RYiY_C5F4Y0c?authuser=0&hl=en&rclk=1"
"Cafe Restaurant Bali","3.7","63","","","","","https://www.google.com/maps/place/Cafe+Restaurant+Bali/data=!4m7!3m6!1s0xdafefac64662635:0x3f235520f7274995!8m2!3d31.6300595!4d-8.0124258!16s%2Fg%2F11g0drzy8x!19sChIJNSZmZKzvrw0RlUkn9yBVIz8?authuser=0&hl=en&rclk=1"
"Grand Café de la Poste","4.3","3,168","","","","","https://www.google.com/maps/place/Grand+Caf%C3%A9+de+la+Poste/data=!4m7!3m6!1s0xdafee8c2727265d:0x9753d84d142facb9!8m2!3d31.6330744!4d-8.0100755!16s%2Fg%2F1tkmnxpm!19sChIJXSYnJ4zurw0RuawvFE3YU5c?authuser=0&hl=en&rclk=1"
"Le tropical","3.3","3","","Cafe","79 Bd Mohamed Zerktouni","","https://www.google.com/maps/place/Le+tropical/data=!4m7!3m6!1s0xdafef49a73953c9:0xe0fb4b65fa2c8db6!8m2!3d31.6368668!4d-8.0117523!16s%2Fg%2F11r49x7nnp!19sChIJyVM5p0nvrw0Rto0s-mVL--A?authuser=0&hl=en&rclk=1"
"Zedd","4.6","453","","","","","https://www.google.com/maps/place/Zedd/data=!4m7!3m6!1s0xdafefa9ab6d70a5:0xe86a242b4710c60b!8m2!3d31.6314912!4d-8.0168731!16s%2Fg%2F11p00hhjrd!19sChIJpXBtq6nvrw0RC8YQRyskaug?authuser=0&hl=en&rclk=1"
"GM Café Gourmet","4.4","405","","","","","https://www.google.com/maps/place/GM+Caf%C3%A9+Gourmet/data=!4m7!3m6!1s0xdafef61ee1b9677:0xc50cb083bdf4220c!8m2!3d31.6282609!4d-8.0058485!16s%2Fg%2F11nxd15z5x!19sChIJd5Yb7mHvrw0RDCL0vYOwDMU?authuser=0&hl=en&rclk=1"
"Café Les Delices","4.1","20","","","","","https://www.google.com/maps/place/Caf%C3%A9+Les+Delices/data=!4m7!3m6!1s0xdafeeeb3bc796d5:0x4a7a85e6f03107fe!8m2!3d31.6261248!4d-8.0209538!16s%2Fg%2F11c2cl1pzj!19sChIJ1ZbHO-vurw0R_gcx8OaFeko?authuser=0&hl=en&rclk=1"
"Roast café restaurant","4.0","79","","","","","https://www.google.com/maps/place/Roast+caf%C3%A9+restaurant/data=!4m7!3m6!1s0xdafef03b5b4f1e1:0xce24b0041ea33669!8m2!3d31.6348885!4d-8.0114096!16s%2Fg%2F11trr2p1_h!19sChIJ4fG0tQPvrw0RaTajHgSwJM4?authuser=0&hl=en&rclk=1"
"Figaro Marrakech","4.5","65","","Hookah bar","3 Bd Mohamed VI","","https://www.google.com/maps/place/Figaro+Marrakech/data=!4m7!3m6!1s0xdafef675bbd09b9:0x9be7afac95092812!8m2!3d31.6361232!4d-8.0197943!16s%2Fg%2F11rfd9yj60!19sChIJuQm9W2fvrw0REigJlayv55s?authuser=0&hl=en&rclk=1"
"Snack Reda","4.0","111","","","","","https://www.google.com/maps/place/Snack+Reda/data=!4m7!3m6!1s0xdafee87e1840291:0x354e2fedae2e0381!8m2!3d31.6385206!4d-8.0059238!16s%2Fg%2F11bxfrq5s_!19sChIJkQKE4Yfurw0RgQMuru0vTjU?authuser=0&hl=en&rclk=1"
"Karma Marrakech","4.0","534","","Cafe  Hôtel Amani","11 Rue Abou Bakr Seddiq","","https://www.google.com/maps/place/Karma+Marrakech/data=!4m7!3m6!1s0xdafeeed367e9ea5:0xd4ba68cdba187336!8m2!3d31.6270523!4d-8.0154133!16s%2Fg%2F11csqjdgr7!19sChIJpZ5-Nu3urw0RNnMYus1outQ?authuser=0&hl=en&rclk=1"
"KRUSTI MARRAKECH","4.0","393","","$$Cafe ","4 Av","","https://www.google.com/maps/place/KRUSTI+MARRAKECH/data=!4m7!3m6!1s0xdafeea2f36ae3d3:0x48be41845e30c02a!8m2!3d31.6404162!4d-8.02617!16s%2Fg%2F1tl9ny6g!19sChIJ0-Nq86Lurw0RKsAwXoRBvkg?authuser=0&hl=en&rclk=1"
"Restaurant Cafe Shisha Rotana","4.3","12","","Restaurant ","15 Angle Rue Abou Bakr Seddiq et","","https://www.google.com/maps/place/Restaurant+Cafe+Shisha+Rotana/data=!4m7!3m6!1s0xdafef9adddd4809:0x4df9c63c5454e3ba!8m2!3d31.6271079!4d-8.0163757!16s%2Fg%2F11strx914b!19sChIJCUjd3Zrvrw0RuuNUVDzG-U0?authuser=0&hl=en&rclk=1"
"Extrablatt","4.1","2,099","","","","","https://www.google.com/maps/place/Extrablatt/data=!4m7!3m6!1s0xdafeef5f56b5147:0xe2f52f1a7541d809!8m2!3d31.623604!4d-8.003051!16s%2Fg%2F1thx5dvh!19sChIJR1Fr9fXurw0RCdhBdRov9eI?authuser=0&hl=en&rclk=1"
"Cafe Restaurant Agdal","4.7","6","","Restaurant","86 Avenue Mohamed V Gueliz","","https://www.google.com/maps/place/Cafe+Restaurant+Agdal/data=!4m7!3m6!1s0xdafee8e3af0d379:0xd357a6a518feb3f2!8m2!3d31.635141!4d-8.012964!16s%2Fg%2F11b6jh4rd4!19sChIJedPwOo7urw0R8rP-GKWmV9M?authuser=0&hl=en&rclk=1"
"Restaurant/ Cafe","4.3","3","","","","","https://www.google.com/maps/place/Restaurant%2F+Cafe/data=!4m7!3m6!1s0xdafef54f501b021:0xfad2a2705a88a5a7!8m2!3d31.6313225!4d-8.0081437!16s%2Fg%2F11ft1fn_kx!19sChIJIbAB9VTvrw0Rp6WIWnCi0vo?authuser=0&hl=en&rclk=1"
"Pasta Lunch Café & Snack","4.8","25","","Restaurant N","3 et","","https://www.google.com/maps/place/Pasta+Lunch+Caf%C3%A9+%26+Snack/data=!4m7!3m6!1s0xdafef0028f314e9:0x43186753a7fcf0d5!8m2!3d31.6316696!4d-8.0039118!16s%2Fg%2F11vrfmm_8k!19sChIJ6RTzKADvrw0R1fD8p1NnGEM?authuser=0&hl=en&rclk=1"
"La recette.","4.5","325","","Restaurant  IMM N°","3 BOULVARD","","https://www.google.com/maps/place/La+recette./data=!4m7!3m6!1s0xdafef05d485c48f:0x101110ff58e07724!8m2!3d31.6307182!4d-8.0070158!16s%2Fg%2F11g1y303cs!19sChIJj8SF1AXvrw0RJHfgWP8QERA?authuser=0&hl=en&rclk=1"
"Red Garden Cafe Restaurant","2.9","217","","","","","https://www.google.com/maps/place/Red+Garden+Cafe+Restaurant/data=!4m7!3m6!1s0xdafee7d3b16371f:0xc38c8bf84fbeb9fa!8m2!3d31.6402738!4d-8.0011717!16s%2Fg%2F11b7dxp_1n!19sChIJHzcWO33urw0R-rm-T_iLjMM?authuser=0&hl=en&rclk=1"
